[8/100][0/1000] Loss_D:0.8159 | Loss_G:3.9042
[8/100][50/1000] Loss_D:1.7991 | Loss_G:6.1704
[8/100][100/1000] Loss_D:0.3485 | Loss_G:2.9811
[8/100][150/1000] Loss_D:2.5095 | Loss_G:4.0679
[8/100][200/1000] Loss_D:0.3804 | Loss_G:2.5853
[8/100][250/1000] Loss_D:0.7000 | Loss_G:4.7574
[8/100][300/1000] Loss_D:0.4874 | Loss_G:2.2751
[8/100][350/1000] Loss_D:0.8312 | Loss_G:5.6417
[8/100][400/1000] Loss_D:0.4444 | Loss_G:3.1003
[8/100][450/1000] Loss_D:0.5702 | Loss_G:1.9494
[8/100][500/1000] Loss_D:0.4843 | Loss_G:2.2195
[8/100][550/1000] Loss_D:0.9221 | Loss_G:4.3311
[8/100][600/1000] Loss_D:0.7768 | Loss_G:2.9561
[8/100][650/1000] Loss_D:0.6605 | Loss_G:2.7732
[8/100][700/1000] Loss_D:0.4716 | Loss_G:3.2997
[8/100][750/1000] Loss_D:0.6551 | Loss_G:2.5588
[8/100][800/1000] Loss_D:0.9544 | Loss_G:1.4813
[8/100][850/1000] Loss_D:0.3762 | Loss_G:3.0710
[8/100][900/1000] Loss_D:0.6743 | Loss_G:1.5672
[8/100][950/1000] Loss_D:0.3451 | Loss_G:2.7408
[9/100][0/1000] Loss_D:0.7774 | Loss_G:2.8300
[9/100][50/1000] Loss_D:0.7184 | Loss_G:1.6904
[9/100][100/1000] Loss_D:0.7454 | Loss_G:2.7503
[9/100][150/1000] Loss_D:0.5542 | Loss_G:3.1696
[9/100][200/1000] Loss_D:0.4280 | Loss_G:2.9592
[9/100][250/1000] Loss_D:0.3572 | Loss_G:3.8345
[9/100][300/1000] Loss_D:1.2081 | Loss_G:0.3775
[9/100][350/1000] Loss_D:0.5683 | Loss_G:4.1945
[9/100][400/1000] Loss_D:0.5304 | Loss_G:1.9591
[9/100][450/1000] Loss_D:0.4131 | Loss_G:2.7734
[9/100][500/1000] Loss_D:0.2915 | Loss_G:2.5943
[9/100][550/1000] Loss_D:3.3831 | Loss_G:5.3960
[9/100][600/1000] Loss_D:0.9647 | Loss_G:4.8384
[9/100][650/1000] Loss_D:0.4248 | Loss_G:1.9798
[9/100][700/1000] Loss_D:0.4765 | Loss_G:2.5414
[9/100][750/1000] Loss_D:0.3071 | Loss_G:3.2924
[9/100][800/1000] Loss_D:1.0015 | Loss_G:4.4155
[9/100][850/1000] Loss_D:0.5444 | Loss_G:2.5281
[9/100][900/1000] Loss_D:0.6774 | Loss_G:3.4320
[9/100][950/1000] Loss_D:0.6579 | Loss_G:2.4099
[10/100][0/1000] Loss_D:0.2396 | Loss_G:3.2854
[10/100][50/1000] Loss_D:0.6209 | Loss_G:4.2466
[10/100][100/1000] Loss_D:1.3814 | Loss_G:5.7215
[10/100][150/1000] Loss_D:0.5230 | Loss_G:2.2366
[10/100][200/1000] Loss_D:0.5810 | Loss_G:3.6971
[10/100][250/1000] Loss_D:0.5056 | Loss_G:4.2027
[10/100][300/1000] Loss_D:0.6703 | Loss_G:3.7657
[10/100][350/1000] Loss_D:0.2619 | Loss_G:3.8474
[10/100][400/1000] Loss_D:0.5402 | Loss_G:3.7223
[10/100][450/1000] Loss_D:0.2757 | Loss_G:2.7780
[10/100][500/1000] Loss_D:0.4337 | Loss_G:2.0007
[10/100][550/1000] Loss_D:0.5060 | Loss_G:2.2193
[10/100][600/1000] Loss_D:0.5202 | Loss_G:3.8930
[10/100][650/1000] Loss_D:0.5354 | Loss_G:3.7394
[10/100][700/1000] Loss_D:0.5074 | Loss_G:3.4695
[10/100][750/1000] Loss_D:0.5746 | Loss_G:2.0002
[10/100][800/1000] Loss_D:0.9874 | Loss_G:6.1249
[10/100][850/1000] Loss_D:0.3570 | Loss_G:4.6498
[10/100][900/1000] Loss_D:0.3434 | Loss_G:2.9599
[10/100][950/1000] Loss_D:0.2474 | Loss_G:3.4230
[11/100][0/1000] Loss_D:0.3305 | Loss_G:2.5591
[11/100][50/1000] Loss_D:0.3825 | Loss_G:2.2765
[11/100][100/1000] Loss_D:0.6197 | Loss_G:4.6053
[11/100][150/1000] Loss_D:0.5334 | Loss_G:1.3910
[11/100][200/1000] Loss_D:0.4498 | Loss_G:2.7724
[11/100][250/1000] Loss_D:0.6310 | Loss_G:2.8906
